id,spkid,full_name,pdes,name,prefix,neo,pha,H,diameter,albedo,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,rms
a0000032,2000032,    32 Pomona,32,Pomona,,N,N,7.6,80.76,0.2564,1.6,JPL 106,2459000.5,59000,20200531,J2000,0.081634434,2.587221172,2.376014834,5.52163334,220.3867205,339.0706086,127.0513088,2.798427509,0.236839284,2458464.055,20181211.55,1520.018107,4.161582772,1.37386,534.6650962,4.43E-08,8.16E-09,1.15E-07,4.85E-06,4.99E-05,5.82E-05,3.10E-05,8.83E-09,1.12E-09,0.00013053,7.19E-06,MBA,0.56598
a0000033,2000033,    33 Polyhymnia,33,Polyhymnia,,N,N,8.5,52.929,0.24,2.304,JPL 40,2459000.5,59000,20200531,J2000,0.331468949,2.874059607,1.921398089,1.852707895,8.459411056,338.4144877,62.91487089,3.826721125,0.20228348,2458689.477,20190724.98,1779.68067,4.872500124,0.914781,356.0053218,3.96E-08,6.21E-09,1.13E-07,4.49E-06,0.00012338,0.00012348,6.27E-06,8.27E-09,6.56E-10,3.07E-05,5.77E-06,MBA,0.49143
a0000034,2000034,    34 Circe,34,Circe,,N,N,8.6,132.992,0.052,1.033,JPL 79,2459000.5,59000,20200531,J2000,0.10644525,2.686002507,2.400090298,5.497332187,184.343968,330.4944517,216.4433933,2.971914717,0.22389503,2459641.678,20220303.18,1607.896343,4.402180268,1.41137,549.2628629,2.29E-08,5.10E-09,6.13E-08,2.47E-06,3.47E-05,3.80E-05,1.60E-05,5.64E-09,6.37E-10,7.18E-05,4.58E-06,MBA,0.48023
a0000035,2000035,    35 Leukothea,35,Leukothea,,N,N,8.6,103.055,0.066,1.201,JPL 53,2459000.5,59000,20200531,J2000,0.225308204,2.994191155,2.319575324,7.932409877,353.7187615,213.4265346,291.3024208,3.668806985,0.190232532,2459361.624,20210527.12,1892.420794,5.18116576,1.32064,513.9534688,3.06E-08,6.42E-09,9.20E-08,3.66E-06,2.50E-05,2.62E-05,9.10E-06,7.86E-09,6.12E-10,4.84E-05,6.09E-06,MBA,0.45028
a0000036,2000036,    36 Atalante,36,Atalante,,N,N,8.5,132.842,0.036,0.532,JPL 91,2459000.5,59000,20200531,J2000,0.305101221,2.747268315,1.909073396,18.36902183,358.2052822,47.81236788,26.32019653,3.585463233,0.216447442,2458878.899,20200130.4,1663.221318,4.553651794,0.959687,373.4813898,4.72E-08,7.20E-09,1.31E-07,5.99E-06,1.26E-05,1.50E-05,8.18E-06,9.40E-09,8.51E-10,3.75E-05,6.54E-06,MBA,0.43355
a0000037,2000037,    37 Fides,37,Fides,,N,N,7.3,108.35,0.1826,1.9,JPL 124,2459000.5,59000,20200531,J2000,0.175645294,2.642047372,2.177984184,3.07092679,7.258070034,62.77227177,73.39732561,3.106110561,0.22950554,2458680.694,20190716.19,1568.589586,4.294564232,1.19434,464.8012978,3.10E-08,4.07E-09,8.24E-08,3.80E-06,6.85E-05,6.94E-05,1.17E-05,4.78E-09,5.30E-10,5.10E-05,3.62E-06,MBA,0.52676
a0000038,2000038,    38 Leda,38,Leda,,N,N,8.5,92.255,0.055,0.49,JPL 107,2459000.5,59000,20200531,J2000,0.154741717,2.738640132,2.314858257,6.971279059,295.722236,169.2407835,91.97851652,3.162422008,0.217471135,2458577.554,20190404.05,1655.392103,4.532216571,1.3321,518.413357,3.66E-08,6.06E-09,1.00E-07,3.98E-06,3.15E-05,3.37E-05,1.23E-05,6.99E-09,7.21E-10,5.63E-05,5.49E-06,MBA,0.43828
a0000039,2000039,    39 Laetitia,39,Laetitia,,N,N,6.1,179.484,0.269,1.685,JPL 106,2459000.5,59000,20200531,J2000,0.111456827,2.768872117,2.460262418,10.37001347,156.9480424,209.3062766,26.96825619,3.077481817,0.213919181,2458874.433,20200125.93,1682.878546,4.607470351,1.46278,569.2700926,3.26E-08,4.39E-09,8.96E-08,3.54E-06,1.94E-05,2.51E-05,1.69E-05,4.88E-09,5.08E-10,7.88E-05,4.00E-06,MBA,0.41993
a0000040,2000040,    40 Harmonia,40,Harmonia,,N,N,7,111.251,0.22,0.391,JPL 117,2459000.5,59000,20200531,J2000,0.047191657,2.266890393,2.15991208,4.257392586,94.18886406,269.4974294,223.2722073,2.373868706,0.288774135,2459473.977,20210916.48,1246.649048,3.413139079,1.16168,452.0910056,2.82E-08,2.53E-09,6.42E-08,3.03E-06,4.20E-05,5.35E-05,3.38E-05,2.65E-09,4.83E-10,0.00011738,2.09E-06,MBA,0.42757
a0000041,2000041,    41 Daphne,41,Daphne,,N,N,7.4,205.495,0.059,1.881,JPL 129,2459000.5,59000,20200531,J2000,0.275032292,2.761286297,2.001843398,15.78819191,178.0724825,45.93172821,220.2537875,3.520729196,0.214801306,2459651.084,20220312.58,1675.967464,4.588548841,1.02782,399.9967094,1.95E-08,5.68E-09,5.45E-08,2.01E-06,8.88E-06,1.02E-05,7.15E-06,7.24E-09,6.62E-10,3.51E-05,5.17E-06,MBA,0.44541
